candidate_id,age,gender,education,previous_job_roles,experience (years),languages,skills
735361,45,Other,High School,Mechanical Engineer,0,"['Marathi', 'English', 'Konkani']","{'AutoCAD': 1, 'Mechanical Design': 8, 'SolidWorks': 8, 'Manufacturing Processes': 10}"
974958,48,Female,PhD,Financial Analyst,9,"['Kannada', 'Marathi', 'Konkani']","{'Financial Analysis': 2, 'Accounting': 6, 'Excel': 2, 'Financial Modeling': 5}"
14890,33,Other,Master's Degree,Biomedical Engineer,10,"['English', 'Marathi', 'Konkani']","{'Biomedical Engineering': 8, 'Medical Devices': 6, 'Biomechanics': 4, 'Bioinformatics': 2}"
16715,34,Female,High School,Graphic Designer,5,['Marathi'],"{'Adobe Photoshop': 10, 'Adobe Illustrator': 6, 'Graphic Design': 6, 'Typography': 8}"
701086,55,Female,High School,Accountant,4,"['Konkani', 'Hindi']","{'Financial Accounting': 4, 'Taxation': 2, 'Auditing': 4, 'Accounting Software': 9}"
628069,43,Other,Master's Degree,Plumber,4,['Sanskrit'],"{'Plumbing': 4, 'Pipefitting': 1, 'Drain Cleaning': 10, 'Plumbing Tools': 3}"
732194,59,Female,Master's Degree,Human Resources Manager,3,"['Kannada', 'Marathi', 'Hindi']","{'Recruitment': 10, 'Employee Relations': 6, 'Performance Management': 0, 'HR Policies': 8}"
558537,37,Other,Master's Degree,Teacher,1,"['Sanskrit', 'English', 'Konkani']","{'Teaching': 10, 'Lesson Planning': 0, 'Classroom Management': 10, 'Curriculum Development': 5}"
915058,31,Female,Bachelor's Degree,Environmental Scientist,4,['English'],"{'Environmental Science': 5, 'Environmental Impact Assessment': 8, 'Data Analysis': 1, 'Field Sampling': 7}"
832305,43,Male,High School,Accountant,9,"['Marathi', 'Sanskrit']","{'Financial Accounting': 0, 'Taxation': 7, 'Auditing': 1, 'Accounting Software': 10}"
643700,48,Female,PhD,Biologist,9,"['Kannada', 'English']","{'Biology': 5, 'Genetics': 3, 'Ecology': 6, 'Research Methods': 4}"
448356,64,Male,Master's Degree,Data Entry Clerk,4,"['Sanskrit', 'Marathi', 'Konkani']","{'Data Entry': 9, 'Typing': 10, 'Data Management': 9, 'Microsoft Excel': 8}"
77905,27,Female,PhD,Electrician,0,"['Hindi', 'Marathi']","{'Electrical Wiring': 1, 'Electrical Maintenance': 4, 'Circuit Troubleshooting': 1, 'Safety Procedures': 6}"
797574,55,Female,Bachelor's Degree,Customer Service Representative,6,['Konkani'],"{'Customer Support': 2, 'Communication Skills': 4, 'Problem Solving': 6, 'CRM Software': 8}"
563876,63,Female,Master's Degree,Quality Assurance Analyst,7,"['English', 'Hindi', 'Konkani']","{'Quality Assurance': 4, 'Software Testing': 2, 'Test Automation': 4, 'Bug Tracking': 3}"
731197,24,Other,Bachelor's Degree,UX/UI Designer,4,"['Kannada', 'English']","{'User Experience Design': 6, 'User Interface Design': 6, 'Wireframing': 8, 'Prototyping': 1}"
745729,64,Male,High School,Sales Representative,3,"['English', 'Sanskrit', 'Kannada']","{'Sales Strategy': 2, 'Negotiation': 8, 'Client Relationship Management': 10, 'CRM Software': 4}"
495134,48,Female,PhD,Financial Analyst,9,"['Hindi', 'Kannada', 'English']","{'Financial Analysis': 5, 'Accounting': 3, 'Excel': 8, 'Financial Modeling': 9}"
833248,33,Other,Master's Degree,Sales Representative,9,"['Sanskrit', 'Hindi']","{'Sales Strategy': 10, 'Negotiation': 5, 'Client Relationship Management': 2, 'CRM Software': 0}"
156109,64,Other,High School,Civil Engineer,3,"['Kannada', 'Hindi']","{'Civil Engineering': 7, 'Structural Analysis': 7, 'Construction Management': 10, 'Geotechnical Engineering': 8}"
451692,34,Female,PhD,Plumber,7,"['Hindi', 'Sanskrit', 'Marathi']","{'Plumbing': 9, 'Pipefitting': 2, 'Drain Cleaning': 3, 'Plumbing Tools': 2}"
347024,25,Female,PhD,Plumber,9,"['English', 'Kannada', 'Marathi']","{'Plumbing': 7, 'Pipefitting': 6, 'Drain Cleaning': 10, 'Plumbing Tools': 0}"
309054,63,Male,High School,Teacher,10,"['English', 'Hindi', 'Kannada']","{'Teaching': 10, 'Lesson Planning': 5, 'Classroom Management': 0, 'Curriculum Development': 9}"
